signature,group,delta_z,delta_lo,delta_hi,se,n_group,n_reference,n_strata_used,n_strata_dropped,strata,Q,df,I2_pct,heterogeneous,mde_80pct,p,q_bh,significant_bh
SIG_HALLMARK_HYPOXIA,ASIAN,0.1254725398090379,-0.004987662666525339,0.2559327422846011,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",4.012137572024104,4,0.3025213319886327,False,0.18648065867053867,0.059425514840863065,0.1789395205971565,False
SIG_HALLMARK_HYPOXIA,AMR,-0.30235361758416684,-0.604807317309525,0.00010008214119133774,0.15431594769652626,52,510,2,29,"CESC, THCA",3.2060071022408305,1,68.80855319063228,True,0.43232927798568194,0.05007585770141656,0.1789395205971565,False
SIG_HALLMARK_IL2_STAT5_SIGNALING,AFR,0.04559339774654248,-0.059161379602638293,0.15034817509572326,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",25.01405439283675,10,60.02247439398033,True,0.14973715744937582,0.393629699606012,0.7704525592550445,False
SIG_HALLMARK_IL2_STAT5_SIGNALING,ASIAN,0.2181234481754455,0.08766324569988226,0.3485836506510087,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",3.21224288707663,4,0.0,False,0.18648065867053867,0.0010492770855161891,0.020924495863359368,True
SIG_HALLMARK_IL2_STAT5_SIGNALING,AMR,-0.02244544069469196,-0.32489914042005014,0.28000825903066623,0.15431594769652626,52,510,2,29,"CESC, THCA",0.0004322253893733678,1,0.0,False,0.43232927798568194,0.8843546379537998,0.922804839603965,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,AFR,0.019870009633176117,-0.08488476771600466,0.12462478698235689,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",22.44419748402832,10,55.445054308062595,True,0.14973715744937582,0.7100653835352875,0.8577930081568251,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,ASIAN,0.20815924581071996,0.07769904333515673,0.3386194482862832,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",4.433426634094651,4,9.776334872927501,False,0.18648065867053867,0.0017643621265511365,0.020924495863359368,True
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,AMR,0.0955790482571636,-0.2068746514681946,0.39803274798252175,0.15431594769652626,52,510,2,29,"CESC, THCA",0.06638597064828756,1,0.0,False,0.43232927798568194,0.535671019008908,0.8329361994281945,False
SIG_HALLMARK_INFLAMMATORY_RESPONSE,AFR,0.0011266467891695104,-0.10362813056001126,0.10588142413835029,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",17.932277339194464,10,44.23463450376677,True,0.14973715744937582,0.9831821708729784,0.9831821708729785,False
SIG_HALLMARK_INFLAMMATORY_RESPONSE,ASIAN,0.210429653908034,0.07996945143247078,0.34088985638359726,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",3.648979249440626,4,0.0,False,0.18648065867053867,0.0015702239508742642,0.020924495863359368,True
