signature,adjustment,mde_80pct_z,mde_80pct_c_index,observed,null_mean,null_sd,n_null,excess_z,excess_lo,excess_hi,beats_null,metric,stratified,endpoint,n_events
SIG_HALLMARK_INFLAMMATORY_RESPONSE,axis_residualised,0.09234759049239886,0.04604298355599883,0.5040405244338498,0.5224410250297974,0.013721629288893016,1000,-0.036868131056406336,-0.10147368017693889,0.027737418064126218,False,c_index,True,PFI,327
SIG_HALLMARK_INFLAMMATORY_RESPONSE,raw,0.09232101172573079,0.046029806832066984,0.5058998808104886,0.5199748629320621,0.0057495662301953665,1000,-0.028175948797851097,-0.09276290365072186,0.036411006055019665,False,c_index,True,PFI,327
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,axis_residualised,0.09234167653479713,0.04604005165026507,0.5132300357568534,0.5350174493444576,0.012368933174939327,1000,-0.043727099577305945,-0.10832851134594552,0.020874312191333635,False,c_index,True,PFI,327
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,raw,0.09232406704402189,0.04603132154391729,0.5107985697258641,0.5353548033373065,0.007114557466577432,1000,-0.04924169142117202,-0.1138307837474179,0.01534740090507386,False,c_index,True,PFI,327
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,axis_residualised,0.09233428197696185,0.04603638571713809,0.5030989272943981,0.5358159117997616,0.010488854351383869,1000,-0.06558826975561989,-0.13018450835767326,-0.000992031153566525,False,c_index,True,PFI,327
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,raw,0.0923200585944851,0.046029334305283214,0.5026221692491061,0.5326530274135877,0.005227491498955808,1000,-0.06016190667577164,-0.12474819472653978,0.004424381374996504,False,c_index,True,PFI,327
SIG_HALLMARK_MYC_TARGETS_V1,axis_residualised,0.09232373643654287,0.04603115764120964,0.5446483909415971,0.5396567342073897,0.006968884214993386,1000,0.010039338594832789,-0.05454952244137498,0.07462819963104056,False,c_index,True,PFI,327
SIG_HALLMARK_MYC_TARGETS_V1,raw,0.09231972149300774,0.04602916718297289,0.550119189511323,0.5495231823599523,0.005008301257880936,1000,0.0011938837846667827,-0.06339216843292003,0.0657799360022536,False,c_index,True,PFI,327
SIG_HALLMARK_TGF_BETA_SIGNALING,axis_residualised,0.09235340879745427,0.04604586803787573,0.5603814064362336,0.5327862574493445,0.014879477184946383,1000,0.0556290346493985,-0.008980584905360342,0.12023865420415734,False,c_index,True,PFI,327
SIG_HALLMARK_TGF_BETA_SIGNALING,raw,0.09233044326374544,0.04603448263100184,0.5465315852205006,0.5345183194278903,0.009368089434153655,1000,0.024162398611252398,-0.04043115446133626,0.08875595168384105,False,c_index,True,PFI,327
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,axis_residualised,0.09233477458520052,0.04603662993322899,0.5327294398092968,0.5353818712753278,0.010626172020183016,1000,-0.005361435791061589,-0.06995801901743695,0.05923514743531377,False,c_index,True,PFI,327
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,raw,0.09232038591067827,0.04602949657640553,0.5273063170441001,0.5320387961859355,0.005408301360728894,1000,-0.009505934058469306,-0.07409245109672141,0.0550805829797828,False,c_index,True,PFI,327
